,RYAN NUGENT-HOPKINS,KAILER YAMAMOTO,ZACH HYMAN,LEON DRAISAITL,CONNOR MCDAVID
RYAN NUGENT-HOPKINS,0.0,4.0,12.0,27.0,10.0
KAILER YAMAMOTO,4.0,0.0,7.0,16.0,19.0
ZACH HYMAN,12.0,7.0,0.0,27.0,29.0
LEON DRAISAITL,27.0,16.0,27.0,0.0,69.0
CONNOR MCDAVID,10.0,19.0,29.0,69.0,0.0
