,GABRIEL LANDESKOG,CALE MAKAR,NAZEM KADRI,NATHAN MACKINNON,MIKKO RANTANEN
GABRIEL LANDESKOG,0.0,20.0,22.0,30.0,26.0
CALE MAKAR,20.0,0.0,22.0,42.0,22.0
NAZEM KADRI,22.0,22.0,0.0,10.0,27.0
NATHAN MACKINNON,30.0,42.0,10.0,0.0,56.0
MIKKO RANTANEN,26.0,22.0,27.0,56.0,0.0
