,MIKAEL BACKLUND,ANDREW MANGIAPANE,ELIAS LINDHOLM,MATTHEW TKACHUK,JOHNNY GAUDREAU
MIKAEL BACKLUND,0.0,20.0,1.0,3.0,4.0
ANDREW MANGIAPANE,20.0,0.0,4.0,4.0,6.0
ELIAS LINDHOLM,1.0,4.0,0.0,59.0,71.0
MATTHEW TKACHUK,3.0,4.0,59.0,0.0,81.0
JOHNNY GAUDREAU,4.0,6.0,71.0,81.0,0.0
