,ALEX TUCH,RASMUS DAHLIN,VICTOR OLOFSSON,JEFF SKINNER,TAGE THOMPSON
ALEX TUCH,0.0,7.0,3.0,17.0,26.0
RASMUS DAHLIN,7.0,0.0,13.0,13.0,21.0
VICTOR OLOFSSON,3.0,13.0,0.0,9.0,12.0
JEFF SKINNER,17.0,13.0,9.0,0.0,48.0
TAGE THOMPSON,26.0,21.0,12.0,48.0,0.0
