,QUINN HUGHES,CONOR GARLAND,BO HORVAT,ELIAS PETTERSSON,JT MILLER
QUINN HUGHES,0.0,7.0,16.0,19.0,22.0
CONOR GARLAND,7.0,0.0,7.0,17.0,19.0
BO HORVAT,16.0,7.0,0.0,12.0,29.0
ELIAS PETTERSSON,19.0,17.0,12.0,0.0,31.0
JT MILLER,22.0,19.0,29.0,31.0,0.0
