,SAM BENNETT,ANTHONY DUCLAIR,SAM REINHART,ALEKSANDER BARKOV,JONATHAN HUBERDEAU
SAM BENNETT,0.0,14.0,7.0,8.0,30.0
ANTHONY DUCLAIR,14.0,0.0,14.0,32.0,29.0
SAM REINHART,7.0,14.0,0.0,20.0,36.0
ALEKSANDER BARKOV,8.0,32.0,20.0,0.0,58.0
JONATHAN HUBERDEAU,30.0,29.0,36.0,58.0,0.0
