,MARCUS FOLIGNO,RYAN HARTMAN,MATS ZUCCARELLO,KEVIN FIALA,KIRILL KAPRIZOV
MARCUS FOLIGNO,0.0,8.0,0.0,6.0,2.0
RYAN HARTMAN,8.0,0.0,30.0,8.0,49.0
MATS ZUCCARELLO,0.0,30.0,0.0,11.0,61.0
KEVIN FIALA,6.0,8.0,11.0,0.0,22.0
KIRILL KAPRIZOV,2.0,49.0,61.0,22.0,0.0
