,NIKITA KUCHEROV,ALEX KILLORN,COREY PERRY,VICTOR HEDMAN,STEVEN STAMKOS
NIKITA KUCHEROV,0.0,4.0,4.0,17.0,21.0
ALEX KILLORN,4.0,0.0,3.0,6.0,16.0
COREY PERRY,4.0,3.0,0.0,8.0,4.0
VICTOR HEDMAN,17.0,6.0,8.0,0.0,17.0
STEVEN STAMKOS,21.0,16.0,4.0,17.0,0.0
