,JEFF CARTER,KRIS LETANG,BRYAN RUST,SIDNEY CROSBY,JAKE GUENTZEL
JEFF CARTER,0.0,9.0,2.0,11.0,13.0
KRIS LETANG,9.0,0.0,15.0,19.0,23.0
BRYAN RUST,2.0,15.0,0.0,37.0,34.0
SIDNEY CROSBY,11.0,19.0,37.0,0.0,59.0
JAKE GUENTZEL,13.0,23.0,34.0,59.0,0.0
