,YEGOR SHARANGOVICH,DAMON SEVERSON,JACK HUGHES,NICO HISCHIER,JESPER BRATT
YEGOR SHARANGOVICH,0.0,1.0,10.0,11.0,6.0
DAMON SEVERSON,1.0,0.0,4.0,11.0,7.0
JACK HUGHES,10.0,4.0,0.0,7.0,10.0
NICO HISCHIER,11.0,11.0,7.0,0.0,13.0
JESPER BRATT,6.0,7.0,10.0,13.0,0.0
