,RYAN STROME,ADAM FOX,CHRIS KREIDER,MIKA ZIBANEJAD,ARTEMI PANARIN
RYAN STROME,0.0,16.0,12.0,8.0,39.0
ADAM FOX,16.0,0.0,36.0,22.0,22.0
CHRIS KREIDER,12.0,36.0,0.0,59.0,35.0
MIKA ZIBANEJAD,8.0,22.0,59.0,0.0,34.0
ARTEMI PANARIN,39.0,22.0,35.0,34.0,0.0
