,JOEL FARABEE,CLAUDE GIROUX,JAMES VAN RIEMSDYK,CAM ATKINSON,TRAVIS KONECNY
JOEL FARABEE,0.0,4.0,6.0,19.0,6.0
CLAUDE GIROUX,4.0,0.0,6.0,18.0,12.0
JAMES VAN RIEMSDYK,6.0,6.0,0.0,9.0,10.0
CAM ATKINSON,19.0,18.0,9.0,0.0,0.0
TRAVIS KONECNY,6.0,12.0,10.0,0.0,0.0
