,JACK ROSLOVIC,PATRIK LAINE,GUSTAV NYQUIST,OLIVER BJORKSTRAND,JAKUB VORACEK
JACK ROSLOVIC,0.0,11.0,11.0,11.0,8.0
PATRIK LAINE,11.0,0.0,17.0,9.0,18.0
GUSTAV NYQUIST,11.0,17.0,0.0,13.0,4.0
OLIVER BJORKSTRAND,11.0,9.0,13.0,0.0,24.0
JAKUB VORACEK,8.0,18.0,4.0,24.0,0.0
