,SAKU KOIVU,TEEMU SELANNE,BOBBY RYAN,RYAN GETZLAF,COREY PERRY
SAKU KOIVU,0.0,28.0,17.0,0.0,6.0
TEEMU SELANNE,28.0,0.0,0.0,18.0,16.0
BOBBY RYAN,17.0,0.0,0.0,22.0,34.0
RYAN GETZLAF,0.0,18.0,22.0,0.0,29.0
COREY PERRY,6.0,16.0,34.0,29.0,0.0
