,DUNCAN KEITH,MARIAN HOSSA,PATRICK SHARP,JONATHAN TOEWS,PATRICK KANE
DUNCAN KEITH,0.0,14.0,16.0,15.0,16.0
MARIAN HOSSA,14.0,0.0,26.0,18.0,11.0
PATRICK SHARP,16.0,26.0,0.0,19.0,20.0
JONATHAN TOEWS,15.0,18.0,19.0,0.0,42.0
PATRICK KANE,16.0,11.0,20.0,42.0,0.0
