,BRYAN LITTLE,MAXIM AFINOGENOV,RICH PEVERLEY,NIK ANTROPOV,ILYA KOVALCHUK
BRYAN LITTLE,0.0,3.0,6.0,14.0,12.0
MAXIM AFINOGENOV,3.0,0.0,17.0,29.0,31.0
RICH PEVERLEY,6.0,17.0,0.0,12.0,8.0
NIK ANTROPOV,14.0,29.0,12.0,0.0,32.0
ILYA KOVALCHUK,12.0,31.0,8.0,32.0,0.0
