,BROOKS LAICH,MIKE GREEN,ALEXANDER SEMIN,NICKLAS BACKSTROM,ALEX OVECHKIN
BROOKS LAICH,0.0,18.0,37.0,12.0,13.0
MIKE GREEN,18.0,0.0,14.0,21.0,33.0
ALEXANDER SEMIN,37.0,14.0,0.0,29.0,23.0
NICKLAS BACKSTROM,12.0,21.0,29.0,0.0,63.0
ALEX OVECHKIN,13.0,33.0,23.0,63.0,0.0
