,MICHAL HANDZUS,ALEX FROLOV,DREW DOUGHTY,DUSTIN BROWN,ANZE KOPITAR
MICHAL HANDZUS,0.0,19.0,5.0,5.0,11.0
ALEX FROLOV,19.0,0.0,15.0,14.0,7.0
DREW DOUGHTY,5.0,15.0,0.0,10.0,36.0
DUSTIN BROWN,5.0,14.0,10.0,0.0,19.0
ANZE KOPITAR,11.0,7.0,36.0,19.0,0.0
