,MARTIN HAVLAT,GUILLAUME LATENDRESSE,ANTTI MIETTINEN,ANDREW BRUNETTE,MIKKO KOIVU
MARTIN HAVLAT,0.0,19.0,5.0,9.0,13.0
GUILLAUME LATENDRESSE,19.0,0.0,0.0,0.0,2.0
ANTTI MIETTINEN,5.0,0.0,0.0,40.0,36.0
ANDREW BRUNETTE,9.0,0.0,40.0,0.0,47.0
MIKKO KOIVU,13.0,2.0,36.0,47.0,0.0
