,JONI PITKANEN,BRANDON SUTTER,RAY WHITNEY,ERIC STAAL,JUSSI JOKINEN
JONI PITKANEN,0.0,6.0,16.0,12.0,19.0
BRANDON SUTTER,6.0,0.0,9.0,4.0,11.0
RAY WHITNEY,16.0,9.0,0.0,29.0,11.0
ERIC STAAL,12.0,4.0,29.0,0.0,43.0
JUSSI JOKINEN,19.0,11.0,11.0,43.0,0.0
