,JASON ARNOTT,JP DUMONT,STEVE SULLIVAN,PATRIC HORNQVIST,MARTIN ERAT
JASON ARNOTT,0.0,10.0,26.0,21.0,12.0
JP DUMONT,10.0,0.0,13.0,7.0,4.0
STEVE SULLIVAN,26.0,13.0,0.0,22.0,9.0
PATRIC HORNQVIST,21.0,7.0,22.0,0.0,10.0
MARTIN ERAT,12.0,4.0,9.0,10.0,0.0
