,CHRIS DRURY,RYAN CALLAHAN,BRANDON DUBINSKY,VINNY PROSPAL,MARIAN GABORIK
CHRIS DRURY,0.0,5.0,4.0,2.0,10.0
RYAN CALLAHAN,5.0,0.0,5.0,15.0,16.0
BRANDON DUBINSKY,4.0,5.0,0.0,8.0,25.0
VINNY PROSPAL,2.0,15.0,8.0,0.0,40.0
MARIAN GABORIK,10.0,16.0,25.0,40.0,0.0
