,DAVID BACKES,ALEXANDER STEEN,TJ OSHIE,DAVID PERRON,ANDY MCDONALD
DAVID BACKES,0.0,6.0,26.0,6.0,9.0
ALEXANDER STEEN,6.0,0.0,4.0,6.0,6.0
TJ OSHIE,26.0,4.0,0.0,2.0,4.0
DAVID PERRON,6.0,6.0,2.0,0.0,23.0
ANDY MCDONALD,9.0,6.0,4.0,23.0,0.0
