,CURTIS GLENCROSS,OLLI JOKINEN,NIGEL DAWES,RENE BOURQUE,JAROME IGINLA
CURTIS GLENCROSS,0.0,4.0,0.0,3.0,15.0
OLLI JOKINEN,4.0,0.0,4.0,3.0,28.0
NIGEL DAWES,0.0,4.0,0.0,17.0,6.0
RENE BOURQUE,3.0,3.0,17.0,0.0,12.0
JAROME IGINLA,15.0,28.0,6.0,12.0,0.0
