team,goals_for,goals_against
TOR,243,232
NSH,220,222
ANA,193,230
PHI,236,201
OTT,193,247
TBL,247,197
ARI,201,192
DET,147,268
LAK,180,214
STL,227,195
WSH,246,222
SJS,182,226
CAR,226,196
NYR,237,224
NYI,197,197
BOS,231,178
CBJ,184,191
EDM,225,218
NJD,197,236
CGY,213,218
VAN,233,222
COL,237,192
VGK,232,217
BUF,197,219
WPG,222,209
MTL,213,222
PIT,226,198
FLA,233,233
MIN,225,227
DAL,185,180
CHI,220,225
