team,goals_for,goals_against
TOR,255,246
NSH,241,226
ANA,233,210
PHI,225,241
OTT,216,218
TBL,241,233
ARI,202,264
DET,213,250
LAK,206,210
STL,237,221
SJS,222,202
WSH,269,188
CAR,220,243
NYR,260,225
NYI,246,249
BOS,238,216
CBJ,251,196
EDM,253,218
NJD,186,245
CGY,227,223
VAN,183,244
COL,167,278
BUF,205,245
WPG,252,259
MTL,231,204
PIT,287,239
FLA,217,242
MIN,271,213
DAL,226,265
CHI,248,215
