team,goals_for,goals_against
TOR,216,270
NSH,238,216
PHI,224,244
ANA,247,236
OTT,248,225
TBL,264,215
ARI,174,276
DET,247,234
LAK,223,209
STL,255,208
SJS,235,239
WSH,253,213
CAR,191,228
NYR,257,198
NYI,260,237
BOS,218,214
CBJ,243,256
EDM,203,289
NJD,187,221
CGY,246,221
VAN,246,224
COL,232,238
BUF,167,280
WPG,236,218
MTL,229,197
PIT,229,218
FLA,220,238
MIN,237,208
DAL,267,265
CHI,237,194
