team,goals_for,goals_against
TOR,148,137
NSH,118,147
PHI,135,144
ANA,149,125
OTT,123,112
TBL,149,151
LAK,140,126
DET,127,118
STL,138,121
WSH,151,131
SJS,129,121
CAR,129,161
NYR,135,116
NYI,143,142
BOS,136,114
CBJ,126,122
EDM,128,137
NJD,116,134
CGY,130,162
VAN,130,127
COL,120,155
BUF,130,149
WPG,132,147
MTL,152,129
PIT,168,121
ARI,129,137
FLA,114,173
MIN,127,133
DAL,131,144
CHI,165,112
