team,goals_for,goals_against
TOR,235,268
NSH,238,214
PHI,273,242
ANA,213,241
OTT,259,249
TBL,237,284
DET,254,208
LAK,201,188
STL,215,169
WSH,230,237
SJS,235,216
CAR,216,246
NYR,231,192
NYI,210,261
BOS,279,211
CBJ,206,266
EDM,223,251
NJD,244,219
CGY,208,234
VAN,259,211
COL,214,225
BUF,230,242
WPG,231,253
MTL,220,235
PIT,292,229
PHX,230,216
FLA,210,238
MIN,191,239
DAL,218,228
CHI,252,242
