team,goals_for,goals_against
TOR,187,148
NSH,159,156
PHI,168,205
ANA,128,182
OTT,159,191
TBL,185,151
ARI,160,182
LAK,145,172
DET,132,178
STL,172,173
WSH,192,164
SJS,157,204
CAR,184,141
NYR,179,159
NYI,159,131
BOS,171,137
CBJ,140,189
EDM,183,154
NJD,148,198
CGY,158,163
VAN,153,190
COL,198,135
VGK,192,125
BUF,138,201
WPG,171,155
MTL,161,171
PIT,198,158
FLA,192,156
MIN,183,162
DAL,163,159
CHI,161,186
