team,goals_for,goals_against
TOR,283,237
NSH,273,218
PHI,256,249
ANA,244,227
OTT,227,299
TBL,299,237
ARI,212,261
DET,221,259
LAK,242,205
STL,229,222
SJS,263,238
WSH,260,241
CAR,231,259
NYR,238,274
NYI,266,299
BOS,274,219
CBJ,249,236
EDM,240,269
NJD,253,250
CGY,223,255
VAN,224,270
COL,258,239
VGK,274,230
BUF,201,282
WPG,282,222
MTL,212,267
PIT,275,252
FLA,253,251
MIN,258,236
DAL,239,228
CHI,232,260
