team,goals_for,goals_against
TOR,318,256
NSH,268,253
ANA,240,279
PHI,211,300
OTT,229,268
SEA,218,286
TBL,293,238
ARI,210,317
DET,232,316
LAK,246,244
STL,314,245
WSH,281,252
SJS,216,266
CAR,278,202
NYR,262,215
NYI,233,241
BOS,257,223
CBJ,266,304
EDM,293,253
NJD,257,315
CGY,295,209
VAN,255,240
COL,314,236
VGK,271,252
BUF,238,295
WPG,255,261
MTL,225,323
PIT,277,236
FLA,344,251
MIN,315,256
DAL,242,249
CHI,221,293
