Rk;Name;Team;Age;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Martin St. Louis;TBL;37;F;48;17;43;60;14;0;21:59;17:35;3:36;0:47;14;3;0;2;0;26;17;0;4;0;40;20;0;6;0;33.3%;0,967;2,445;3,412;0,995;1,848;2,843;1,039;5,887;6,926;0,354;0,896;1,25;112;15.2%;23;32;12;16;42.86%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Steven Stamkos;TBL;22;F;48;29;28;57;32;-4;22:01;17:32;3:45;0:43;19;10;0;2;0;20;8;0;5;0;39;18;0;7;0;31.6%;1,646;1,589;3,235;1,354;1,425;2,779;3,33;2,664;5,994;0,604;0,583;1,188;157;18.5%;63;17;406;413;49.57%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Alexander Ovechkin;WSH;27;F;48;32;24;56;36;2;20:53;16:13;4:35;0:04;16;16;0;4;0;13;11;0;3;0;29;27;0;7;0;48.2%;1,915;1,436;3,352;1,233;1,002;2,235;4,354;2,993;7,347;0,667;0,5;1,167;220;14.6%;120;18;0;1;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sidney Crosby;PIT;25;F;36;15;41;56;16;26;21:06;16:02;4:21;0:41;12;3;0;1;0;27;14;0;9;0;39;17;0;10;0;30.4%;1,185;3,238;4,423;1,246;2,804;4,051;1,146;5,347;6,493;0,417;1,139;1,556;124;12.1%;21;18;453;381;54.32%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Patrick Kane;CHI;24;F;47;23;32;55;8;11;20:03;17:05;2:57;0:00;15;8;0;3;0;23;9;0;7;2;38;17;0;10;2;30.9%;1,464;2,037;3,501;1,121;1,718;2,839;3,451;3,883;7,334;0,489;0,681;1,17;138;16.7%;11;9;2;8;20.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Eric Staal;CAR;28;F;48;18;35;53;54;5;20:59;16:14;3:33;1:12;14;3;1;4;0;29;6;0;7;0;43;9;1;11;0;17.0%;1,072;2,084;3,155;1,078;2,233;3,311;1,054;2,108;3,161;0,375;0,729;1,104;152;11.8%;35;24;527;487;51.97%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Chris Kunitz;PIT;33;F;48;22;30;52;39;30;18:01;14:03;3:49;0:08;13;9;0;5;0;23;7;0;5;0;36;16;0;10;0;30.8%;1,526;2,081;3,607;1,156;2,045;3,201;2,941;2,288;5,229;0,458;0,625;1,083;113;19.5%;104;13;4;5;44.44%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Phil Kessel;TOR;25;F;48;20;32;52;18;-3;19:48;16:27;3:18;0:01;14;6;0;4;0;17;15;0;7;0;31;21;0;11;0;40.4%;1,262;2,019;3,281;1,063;1,291;2,354;2,262;5,654;7,915;0,417;0,667;1,083;161;12.4%;16;23;5;3;62.50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Taylor Hall;EDM;21;F;45;16;34;50;33;5;18:37;15:19;3:14;0:03;12;4;0;4;0;24;10;0;7;1;36;14;0;11;1;28.0%;1,146;2,435;3,58;1,044;2,089;3,133;1,643;4,108;5,751;0,356;0,756;1,111;154;10.4%;24;20;29;24;54.72%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Ryan Getzlaf;ANA;27;F;44;15;34;49;41;14;20:11;15:55;2:46;1:29;8;4;3;3;0;23;11;0;10;1;31;15;3;13;1;30.6%;1,013;2,296;3,309;0,685;1,97;2,655;1,965;5,402;7,367;0,341;0,773;1,114;99;15.2%;89;42;355;384;48.04%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Pavel Datsyuk;DET;34;F;47;15;34;49;14;21;20:10;15:11;3:33;1:26;7;8;0;6;2;23;8;3;5;0;30;16;3;11;2;32.7%;0,949;2,151;3,1;0,588;1,933;2,522;2,872;2,872;5,743;0,319;0,723;1,043;107;14.0%;31;30;488;399;55.02%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
