Rk;Name;Team;Age;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Patrick Kane;CHI;27;F;82;46;60;106;30;17;20:24;17:14;3:07;0:02;29;17;0;9;1;40;20;0;15;5;69;37;0;24;6;34.9%;1,649;2,151;3,8;1,231;1,698;2,929;3,977;4,678;8,655;0,561;0,732;1,293;287;16.0%;37;21;11;40;21.57%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Jamie Benn;DAL;26;F;82;41;48;89;64;7;20:01;15:15;3:12;1:34;22;17;2;5;1;32;13;3;6;3;54;30;5;11;4;33.7%;1,498;1,754;3,253;1,055;1,535;2,591;3,886;2,972;6,858;0,5;0,585;1,085;247;16.6%;156;55;226;252;47.28%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sidney Crosby;PIT;28;F;80;36;49;85;42;19;20:28;16:21;3:42;0:24;26;10;0;9;2;35;14;0;5;2;61;24;0;14;4;28.2%;1,319;1,795;3,114;1,192;1,604;2,796;2,025;2,835;4,86;0,45;0,613;1,063;248;14.5%;90;35;986;921;51.70%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Joe Thornton;SJS;36;F;82;19;63;82;54;25;18:21;14:40;3:38;0:02;11;8;0;6;0;42;21;0;11;2;53;29;0;17;2;35.4%;0,757;2,51;3,268;0,548;2,094;2,643;1,607;4,219;5,827;0,232;0,768;1;121;15.7%;48;30;399;354;52.99%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Erik Karlsson;OTT;25;D;82;16;66;82;50;-2;28:58;22:59;4:39;1:19;15;1;0;3;2;41;25;0;6;2;56;26;0;9;4;31.7%;0,404;1,667;2,071;0,477;1,305;1,782;0,157;3,932;4,089;0,195;0,805;1;248;6.5%;84;175;0;1;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Joe Pavelski;SJS;31;F;82;38;40;78;30;25;19:48;15:36;3:39;0:33;26;12;0;11;1;24;16;0;9;1;50;28;0;20;2;35.9%;1,403;1,477;2,88;1,219;1,125;2,344;2,403;3,204;5,607;0,463;0,488;0,951;224;17.0%;147;67;516;422;55.01%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Johnny Gaudreau;CGY;22;F;79;30;48;78;20;4;19:55;16:15;3:36;0:03;24;6;0;6;3;33;15;0;6;5;57;21;0;12;8;26.9%;1,143;1,829;2,972;1,121;1,541;2,662;1,266;3,164;4,43;0,38;0,608;0,987;217;13.8%;26;10;2;3;40.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Blake Wheeler;WPG;29;F;82;26;52;78;49;8;19:47;15:20;3:09;1:17;21;3;2;5;2;36;14;2;4;1;57;17;4;9;3;21.8%;0,961;1,923;2,884;1,002;1,717;2,718;0,696;3,246;3,942;0,317;0,634;0,951;256;10.2%;92;56;10;18;35.71%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Artemi Panarin;CHI;24;F;80;30;47;77;32;8;18:31;15:40;2:50;0:00;22;8;0;7;1;31;16;0;11;3;53;24;0;18;4;31.2%;1,215;1,903;3,118;1,053;1,484;2,537;2,114;4,228;6,343;0,375;0,588;0,963;187;16.0%;46;14;0;0;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Evgeny Kuznetsov;WSH;23;F;82;20;57;77;32;27;17:24;15:11;2:11;0:01;15;5;0;4;2;44;13;0;10;1;59;18;0;14;3;23.4%;0,84;2,395;3,235;0,723;2,12;2,843;1,665;4,328;5,993;0,244;0,695;0,939;193;10.4%;73;29;543;594;47.76%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Brent Burns;SJS;30;D;82;27;48;75;53;-5;25:51;19:38;4:05;2:08;19;7;1;4;1;24;23;1;10;1;43;30;2;14;2;40.0%;0,764;1,358;2,122;0,708;0,894;1,602;1,251;4,11;5,361;0,329;0,585;0,915;353;7.7%;101;145;1;0;100.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Vladimir Tarasenko;STL;24;F;80;40;34;74;37;7;18:38;15:24;2:48;0:25;28;12;0;7;2;22;12;0;3;0;50;24;0;10;2;32.4%;1,61;1,368;2,978;1,364;1,071;2,435;3,202;3,202;6,404;0,5;0,425;0,925;292;13.7%;32;28;0;1;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Anze Kopitar;LAK;28;F;81;25;49;74;16;34;20:52;16:08;2:34;2:09;19;5;1;8;4;34;13;2;11;1;53;18;3;19;5;24.3%;0,887;1,739;2,627;0,872;1,56;2,432;1,441;3,747;5,188;0,309;0,605;0,914;177;14.1%;78;65;950;826;53.49%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Tyler Seguin;DAL;23;F;72;33;40;73;16;2;19:26;16:06;3:19;0:01;26;7;0;6;1;23;17;0;10;3;49;24;0;16;4;32.9%;1,414;1,714;3,129;1,346;1,19;2,536;1,757;4,268;6,026;0,458;0,556;1,014;278;11.9%;80;27;470;376;55.56%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Alexander Ovechkin;WSH;30;F;79;50;21;71;53;21;20:18;16:00;4:17;0:00;31;19;0;8;2;16;5;0;8;1;47;24;0;16;3;33.8%;1,87;0,785;2,655;1,471;0,759;2,23;3,359;0,884;4,243;0,633;0,266;0,899;398;12.6%;225;34;0;0;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;John Tavares;NYI;25;F;78;33;37;70;38;6;19:59;16:47;3:09;0:02;26;7;0;5;0;25;12;0;7;2;51;19;0;12;2;27.1%;1,27;1,423;2,693;1,191;1,145;2,336;1,707;2,926;4,634;0,423;0,474;0,897;250;13.2%;51;29;741;629;54.09%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Nicklas Bäckström;WSH;28;F;75;20;50;70;36;17;19:10;15:12;3:04;0:53;17;3;0;4;0;23;27;0;8;0;40;30;0;12;0;42.9%;0,834;2,085;2,919;0,894;1,209;2,103;0,781;7,033;7,815;0,267;0,667;0,933;129;15.5%;51;50;659;698;48.56%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Patrice Bergeron;BOS;30;F;80;32;36;68;49;12;19:50;14:38;2:59;2:11;19;12;1;6;0;21;13;2;5;1;40;25;3;11;1;36.8%;1,21;1,361;2,571;0,973;1,076;2,049;3,004;3,254;6,258;0,4;0,45;0,85;282;11.4%;77;56;1130;848;57.13%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Claude Giroux;PHI;27;F;78;22;45;67;53;-8;20:32;15:12;3:51;1:28;15;6;1;5;2;23;21;1;10;5;38;27;2;15;7;40.3%;0,824;1,685;2,508;0,758;1,163;1,921;1,197;4,191;5,388;0,282;0,577;0,859;241;9.1%;83;36;1081;800;57.47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Kristopher Letang;PIT;28;D;71;16;51;67;66;9;26:56;20:38;3:58;2:19;11;5;0;2;1;26;22;3;9;3;37;27;3;11;4;40.3%;0,502;1,599;2,101;0,45;1,064;1,514;1,062;4,674;5,736;0,225;0,718;0,944;218;7.3%;135;122;0;0;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Nikita Kucherov;TBL;22;F;77;30;36;66;30;9;18:12;14:55;3:15;0:01;21;9;0;4;1;20;16;0;9;1;41;25;0;13;2;37.9%;1,284;1,54;2,824;1,097;1,044;2,141;2,15;3,822;5,971;0,39;0,468;0,857;209;14.4%;61;28;0;1;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Jaromír Jágr;FLA;43;F;79;27;39;66;48;23;17:04;14:20;2:42;0:00;22;5;0;4;0;33;6;0;8;0;55;11;0;12;0;16.7%;1,201;1,735;2,936;1,165;1,747;2,912;1,399;1,679;3,078;0,342;0,494;0,835;143;18.9%;31;16;0;1;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Taylor Hall;EDM;24;F;82;26;39;65;54;-4;19:12;16:20;2:49;0:02;22;4;0;6;1;31;8;0;4;0;53;12;0;10;1;18.5%;0,991;1,486;2,477;0,985;1,389;2,374;1,039;2,077;3,116;0,317;0,476;0,793;286;9.1%;82;50;14;25;35.90%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Steven Stamkos;TBL;25;F;77;36;28;64;38;3;19:45;15:29;3:29;0:46;21;14;1;8;0;17;9;2;3;2;38;23;3;11;2;35.9%;1,42;1,104;2,524;1,056;0,855;1,911;3,132;2,013;5,145;0,468;0,364;0,831;216;16.7%;109;35;463;464;49.95%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Filip Forsberg;NSH;21;F;82;33;31;64;47;1;19:03;14:38;2:38;1:46;24;8;1;3;0;16;15;0;6;1;40;23;1;9;1;35.9%;1,267;1,191;2,458;1,2;0,8;1,999;2,211;4,145;6,356;0,402;0,378;0,78;247;13.4%;114;41;2;7;22.22%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Max Pacioretty;MTL;27;F;82;30;34;64;34;-10;18:31;14:25;2:55;1:10;21;8;1;6;0;25;9;0;1;0;46;17;1;7;0;26.6%;1,185;1,343;2,528;1,066;1,269;2,334;1,999;2,249;4,248;0,366;0,415;0,78;303;9.9%;102;37;6;7;46.15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Kyle Okposo;NYI;27;F;79;22;42;64;51;-4;18:12;15:09;2:58;0:03;15;7;0;4;2;26;16;0;6;0;41;23;0;10;2;35.9%;0,918;1,752;2,67;0,751;1,302;2,054;1,785;4,08;5,864;0,278;0,532;0,81;202;10.9%;90;39;23;40;36.51%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Jason Spezza;DAL;32;F;75;33;30;63;22;4;16:31;13:17;3:07;0:06;24;9;0;7;0;15;15;0;7;0;39;24;0;14;0;38.1%;1,598;1,453;3,051;1,445;0,903;2,348;2,306;3,844;6,15;0,44;0,4;0,84;202;16.3%;9;20;538;443;54.84%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Loui Eriksson;BOS;30;F;82;30;33;63;12;13;19:28;14:43;2:54;1:51;18;10;2;5;1;25;7;1;4;0;43;17;3;9;1;27.0%;1,127;1,239;2,366;0,895;1,243;2,138;2,513;1,759;4,273;0,366;0,402;0,768;184;16.3%;22;34;12;9;57.14%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Sean Monahan;CGY;21;F;81;27;36;63;18;-6;19:10;15:07;3:14;0:48;20;7;0;5;1;23;13;0;3;1;43;20;0;8;2;31.7%;1,043;1,391;2,434;0,979;1,126;2,105;1,602;2,976;4,578;0,333;0,444;0,778;197;13.7%;38;37;887;852;51.01%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;David Krejcí;BOS;29;F;72;17;46;63;32;4;20:18;15:34;3:13;1:29;13;4;0;3;0;29;14;3;10;1;42;18;3;13;1;28.6%;0,698;1,888;2,586;0,695;1,551;2,247;1,032;3,611;4,643;0,236;0,639;0,875;143;11.9%;43;57;560;557;50.13%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
