Rk;Name;Team;Age;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Evgeni Malkin;PIT;22;F;82;35;78;113;80;17;22:31;15:53;5:33;1:04;19;14;2;4;2;51;27;0;13;1;70;41;2;17;3;36.3%;1,137;2,535;3,672;0,875;2,349;3,225;1,844;3,556;5,4;0,427;0,951;1,378;290;12.1%;80;39;283;385;42.37%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Alexander Ovechkin;WSH;23;F;79;56;54;110;72;8;23:00;16:39;5:24;0:55;36;19;1;10;2;27;27;0;5;0;63;46;1;15;2;41.8%;1,849;1,783;3,632;1,641;1,231;2,872;2,665;3,787;6,452;0,709;0,684;1,392;528;10.6%;243;32;8;24;25.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sidney Crosby;PIT;21;F;77;33;70;103;76;3;21:56;15:36;5:22;0:57;26;7;0;3;1;36;33;1;8;0;62;40;1;11;1;38.8%;1,172;2,486;3,658;1,298;1,797;3,095;1,015;4,784;5,799;0,429;0,909;1,338;238;13.9%;80;42;829;786;51.33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Pavel Datsyuk;DET;30;F;81;32;65;97;22;34;19:12;14:13;3:23;1:36;20;11;1;3;0;39;25;1;9;2;59;36;2;12;2;37.1%;1,234;2,506;3,74;1,042;2,031;3,073;2,406;5,468;7,874;0,395;0,802;1,198;248;12.9%;76;33;636;499;56.04%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Zach Parise;NJD;24;F;82;45;49;94;24;30;18:45;14:42;3:41;0:21;31;14;0;8;3;30;16;3;7;1;61;30;3;15;4;31.9%;1,755;1,911;3,667;1,542;1,492;3,033;2,778;3,175;5,954;0,549;0,598;1,146;364;12.4%;65;17;54;67;44.63%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Ilya Kovalchuk;ATL;25;F;79;43;48;91;50;-12;21:48;15:46;5:48;0:14;31;12;0;6;1;23;24;1;9;2;54;36;1;15;3;39.6%;1,498;1,672;3,17;1,493;1,108;2,601;1,571;3,141;4,712;0,544;0,608;1,152;275;15.6%;43;15;5;9;35.71%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Ryan Getzlaf;ANA;23;F;81;25;66;91;121;5;20:07;15:43;3:58;0:25;16;9;0;2;0;38;28;0;12;3;54;37;0;14;3;40.7%;0,92;2,429;3,349;0,753;1,789;2,543;1,674;5,208;6,883;0,309;0,815;1,123;227;11.0%;134;43;566;562;50.18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Jarome Iginla;CGY;31;F;82;35;54;89;37;-2;21:36;16:31;4:54;0:10;25;10;0;4;0;32;22;0;9;1;57;32;0;13;1;36.0%;1,185;1,828;3,013;1,107;1,416;2,523;1,491;3,281;4,773;0,427;0,659;1,085;289;12.1%;82;15;263;238;52.50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Marc Savard;BOS;31;F;82;25;63;88;70;25;19:32;14:13;3:42;1:36;16;9;0;5;0;40;21;2;10;1;56;30;2;15;1;34.1%;0,936;2,36;3,296;0,823;2,059;2,882;1,779;4,15;5,929;0,305;0,768;1,073;213;11.7%;25;19;643;646;49.88%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Nicklas Bäckström;WSH;21;F;82;22;66;88;46;16;19:56;15:12;3:51;0:52;8;14;0;1;0;38;28;0;5;1;46;42;0;6;1;47.7%;0,807;2,421;3,229;0,385;1,828;2,212;2,656;5,312;7,968;0,268;0,805;1,073;174;12.6%;52;46;570;601;48.68%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
