Rk;Name;Team;Age;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Henrik Sedin;VAN;29;F;82;29;83;112;48;35;19:41;15:34;3:27;0:39;23;4;2;5;0;60;23;0;14;2;83;27;2;19;2;24.1%;1,078;3,085;4,163;1,08;2,818;3,899;0,847;4,868;5,715;0,354;1,012;1,366;166;17.5%;13;13;756;771;49.51%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Sidney Crosby;PIT;22;F;81;51;58;109;71;15;21:57;16:03;5:00;0:53;36;13;2;6;1;36;21;1;9;2;72;34;3;15;3;31.2%;1,721;1,957;3,678;1,66;1,66;3,321;1,923;3,107;5,03;0,63;0,716;1,346;298;17.1%;63;43;1001;790;55.89%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Alexander Ovechkin;WSH;24;F;72;50;59;109;89;45;21:47;16:40;5:03;0:03;37;13;0;7;0;36;23;0;6;2;73;36;0;13;2;33.0%;1,912;2,256;4,167;1,848;1,798;3,647;2,142;3,791;5,933;0,694;0,819;1,514;368;13.6%;185;20;10;12;45.45%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Nicklas Bäckström;WSH;22;F;82;33;68;101;50;37;20:26;15:43;3:37;1:05;22;11;0;4;1;42;26;0;12;2;64;37;0;16;3;36.6%;1,181;2,434;3,614;1,023;1,953;2,977;2,217;5,241;7,458;0,402;0,829;1,232;222;14.9%;90;62;667;669;49.93%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Steven Stamkos;TBL;19;F;82;51;44;95;38;-2;20:33;14:33;4:39;1:20;26;24;1;5;1;27;17;0;9;1;53;41;1;14;2;43.2%;1,816;1,567;3,382;1,307;1,358;2,665;3,777;2,675;6,452;0,622;0,537;1,159;297;17.2%;68;38;481;523;47.91%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Martin St. Louis;TBL;34;F;82;29;65;94;12;-8;21:48;15:55;4:43;1:09;21;7;1;7;2;35;30;0;8;1;56;37;1;15;3;39.4%;0,973;2,181;3,154;0,965;1,608;2,573;1,084;4,645;5,729;0,354;0,793;1,146;242;12.0%;20;40;71;86;45.22%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Brad Richards;DAL;29;F;80;24;67;91;14;-12;20:51;15:19;5:04;0:27;11;13;0;2;0;40;27;0;11;0;51;40;0;13;0;44.0%;0,863;2,408;3,271;0,538;1,957;2,495;1,924;3,996;5,919;0,3;0,838;1,138;284;8.5%;16;22;587;553;51.49%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Joe Thornton;SJS;30;F;79;20;69;89;54;17;19:51;15:22;3:30;0:58;15;4;1;2;0;42;25;2;11;0;57;29;3;13;0;32.6%;0,765;2,639;3,404;0,741;2,075;2,816;0,867;5,42;6,288;0,253;0,873;1,127;141;14.2%;113;29;662;566;53.91%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Patrick Kane;CHI;21;F;82;30;58;88;20;16;19:11;15:49;3:14;0:07;21;9;0;6;0;37;20;1;9;0;58;29;1;15;0;33.0%;1,144;2,211;3,354;0,971;1,71;2,681;2,034;4,519;6,553;0,366;0,707;1,073;261;11.5%;17;17;9;13;40.91%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Marian Gaborik;NYR;27;F;76;42;44;86;37;15;21:14;16:36;3:42;0:56;27;14;1;4;0;31;12;1;11;0;58;26;2;15;0;30.2%;1,561;1,635;3,196;1,284;1,474;2,758;2,983;2,557;5,541;0,553;0,579;1,132;272;15.4%;59;31;2;5;28.57%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
