Rk;Name;Team;Age;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Tyler Seguin;DAL;24;F;82;26;46;72;22;-15;18:27;15:16;3:09;0:01;15;11;0;4;1;28;18;0;11;1;43;29;0;15;2;40.3%;1,031;1,823;2,854;0,719;1,342;2,06;2,545;4,165;6,71;0,317;0,561;0,878;301;8.6%;60;26;402;385;51.08%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Victor Hedman;TBL;26;D;79;16;56;72;47;3;24:29;19:26;3:00;2:03;12;4;0;5;2;27;29;0;11;1;39;33;0;16;3;45.8%;0,496;1,736;2,232;0,469;1,055;1,524;1,011;7,331;8,342;0,203;0,709;0,911;166;9.6%;93;132;0;0;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Erik Karlsson;OTT;26;D;77;17;54;71;28;10;26:50;21:00;3:41;2:09;13;4;0;5;1;29;23;2;13;2;42;27;2;18;3;38.0%;0,494;1,568;2,062;0,482;1,076;1,558;0,846;4,865;5,711;0,221;0,701;0,922;218;7.8%;67;201;0;0;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;David Pastrnak;BOS;20;F;75;34;36;70;34;11;17:59;15:16;2:37;0:00;24;10;0;6;2;22;14;0;7;0;46;24;0;13;2;34.3%;1,513;1,601;3,114;1,257;1,153;2,41;3,044;4,262;7,307;0,453;0,48;0,933;262;13.0%;72;32;2;1;66.67%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Phil Kessel;PIT;29;F;82;23;47;70;20;3;17:55;14:21;3:32;0:01;15;8;0;4;1;25;22;0;11;2;40;30;0;15;3;42.9%;0,939;1,918;2,857;0,764;1,274;2,038;1,651;4,539;6,19;0,28;0,573;0,854;229;10.0%;12;15;5;10;33.33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Auston Matthews;TOR;19;F;82;40;29;69;14;2;17:37;15:05;2:28;0:02;32;8;0;8;1;16;13;0;5;2;48;21;0;13;3;30.4%;1,661;1,204;2,866;1,551;0,776;2,327;2,361;3,837;6,198;0,488;0,354;0,841;279;14.3%;21;61;530;602;46.82%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Alexander Ovechkin;WSH;31;F;82;33;36;69;50;6;18:21;14:36;3:43;0:01;16;17;0;7;2;27;9;0;7;1;43;26;0;14;3;37.7%;1,315;1,435;2,75;0,801;1,352;2,154;3,34;1,768;5,109;0,402;0,439;0,841;313;10.5%;216;29;0;1;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Jamie Benn;DAL;27;F;77;26;43;69;66;-9;19:23;14:49;3:05;1:27;13;12;1;4;2;29;14;0;8;2;42;26;1;12;4;37.7%;1,045;1,729;2,774;0,683;1,524;2,207;3,017;3,52;6,536;0,338;0,558;0,896;201;12.9%;90;47;212;200;51.46%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Mikael Granlund;MIN;24;F;81;26;43;69;12;23;18:49;15:06;2:11;1:30;16;7;3;4;1;29;13;1;9;1;45;20;4;13;2;29.0%;1,023;1,693;2,716;0,784;1,421;2,205;2,357;4,378;6,735;0,321;0,531;0,852;177;14.7%;50;50;16;17;48.48%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Joe Pavelski;SJS;32;F;81;29;39;68;34;11;19:08;15:22;3:18;0:17;21;7;1;7;0;24;15;0;9;4;45;22;1;16;4;32.4%;1,123;1,51;2,633;1,012;1,157;2,169;1,566;3,355;4,92;0,358;0,481;0,84;233;12.5%;130;73;449;407;52.45%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Henrik Zetterberg;DET;36;F;82;17;51;68;22;15;19:42;16:41;2:57;0:03;15;2;0;0;0;40;11;0;11;2;55;13;0;11;2;19.1%;0,631;1,893;2,524;0,658;1,753;2,411;0,493;2,714;3,207;0,207;0,622;0,829;195;8.7%;58;30;705;657;51.76%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Max Pacioretty;MTL;28;F;81;35;32;67;38;15;19:09;15:28;2:42;0:59;26;8;1;7;2;26;5;1;10;4;52;13;2;17;6;19.4%;1,353;1,237;2,59;1,245;1,245;2,49;2,193;1,371;3,564;0,432;0,395;0,827;268;13.1%;63;35;27;23;54.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Jeff Carter;LAK;31;F;82;32;34;66;41;2;18:01;13:36;2:54;1:30;21;10;1;9;4;22;12;0;6;3;43;22;1;15;7;33.3%;1,299;1,381;2,68;1,129;1,183;2,311;2,523;3,028;5,55;0,39;0,415;0,805;250;12.8%;86;37;735;680;51.94%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;John Tavares;NYI;26;F;77;28;38;66;38;4;20:25;16:18;3:11;0:57;20;7;1;3;1;26;11;1;7;1;46;18;2;10;2;27.3%;1,068;1,45;2,519;0,956;1,243;2,199;1,707;2,683;4,39;0,364;0,494;0,857;260;10.8%;42;20;824;804;50.61%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Eric Staal;MIN;32;F;82;28;37;65;34;17;18:36;14:51;2:22;1:22;23;4;1;8;0;24;12;1;4;0;47;16;2;12;0;24.6%;1,101;1,455;2,556;1,132;1,182;2,314;1,231;3,692;4,923;0,341;0,451;0,793;211;13.3%;42;39;577;597;49.15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Patrik Laine;WPG;18;F;73;36;28;64;26;7;17:54;15:09;2:44;0:01;27;9;0;5;1;23;5;0;6;1;50;14;0;11;2;21.9%;1,652;1,285;2,937;1,464;1,247;2,711;2,703;1,502;4,205;0,493;0,384;0,877;204;17.7%;80;33;0;3;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Nikolaj Ehlers;WPG;20;F;82;25;39;64;38;1;17:29;14:50;2:37;0:01;20;5;0;4;0;32;7;0;5;0;52;12;0;9;0;18.8%;1,046;1,632;2,678;0,986;1,578;2,564;1,394;1,952;3,346;0,305;0,476;0,78;204;12.3%;43;28;0;4;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Jeff Skinner;CAR;24;F;79;37;26;63;28;-3;17:44;15:26;2:16;0:00;30;7;0;4;0;18;8;0;5;1;48;15;0;9;1;23.8%;1,584;1,113;2,697;1,475;0,885;2,361;2,339;2,673;5,011;0,468;0,329;0,797;281;13.2%;33;28;10;17;37.04%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Cam Atkinson;CBJ;27;F;82;35;27;62;22;13;18:05;14:00;2:32;1:33;22;10;3;9;3;16;11;0;8;2;38;21;3;17;5;33.9%;1,415;1,092;2,507;1,15;0,836;1,986;2,886;3,175;6,061;0,427;0,329;0,756;240;14.6%;33;34;2;1;66.67%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;James van Riemsdyk;TOR;27;F;82;29;33;62;37;-2;15:53;13:19;2:23;0:04;23;6;0;5;0;20;13;0;2;0;43;19;0;7;0;30.6%;1,335;1,519;2,854;1,263;1,098;2,362;1,839;3,984;5,823;0,354;0,402;0,756;238;12.2%;62;29;1;4;20.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Nazem Kadri;TOR;26;F;82;32;29;61;95;-7;16:34;14:17;2:14;0:01;20;12;0;6;2;24;5;0;1;0;44;17;0;7;2;27.9%;1,413;1,281;2,694;1,024;1,229;2,252;3,928;1,637;5,565;0,39;0,354;0,744;236;13.6%;124;31;544;589;48.01%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Viktor Arvidsson;NSH;23;F;80;31;30;61;28;16;17:09;14:05;1:59;1:03;22;4;5;6;1;23;5;2;6;0;45;9;7;12;1;14.8%;1,356;1,312;2,668;1,171;1,224;2,395;1,506;1,882;3,388;0,388;0,375;0,763;246;12.6%;23;45;4;12;25.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Mike Hoffman;OTT;27;F;74;26;35;61;51;17;17:35;14:24;3:11;0:00;13;13;0;8;1;22;13;0;3;0;35;26;0;11;1;42.6%;1,198;1,612;2,81;0,732;1,239;1,97;3,31;3,31;6,62;0,351;0,473;0,824;224;11.6%;41;21;12;9;57.14%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;William Nylander;TOR;20;F;81;22;39;61;32;-3;15:59;13:35;2:22;0:02;13;9;0;2;0;22;17;0;5;2;35;26;0;7;2;42.6%;1,019;1,806;2,824;0,708;1,199;1,907;2,801;5,291;8,093;0,272;0,481;0,753;205;10.7%;25;16;49;73;40.16%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Jakub Vorácek;PHI;27;F;82;20;41;61;56;-24;19:05;15:27;3:35;0:01;15;5;0;3;2;23;18;0;7;2;38;23;0;10;4;37.7%;0,767;1,572;2,338;0,71;1,089;1,799;1,017;3,66;4,677;0,244;0,5;0,744;253;7.9%;30;22;3;11;21.43%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Mitchell Marner;TOR;19;F;77;19;42;61;38;0;16:48;14:16;2:22;0:09;15;4;0;5;0;25;17;0;5;1;40;21;0;10;1;34.4%;0,88;1,946;2,827;0,819;1,365;2,184;1,316;5,593;6,909;0,247;0,545;0,792;176;10.8%;41;39;14;23;37.84%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Johnny Gaudreau;CGY;23;F;72;18;43;61;4;-7;18:29;15:16;3:12;0:01;14;4;0;3;1;31;12;0;5;3;45;16;0;8;4;26.2%;0,811;1,937;2,748;0,764;1,692;2,456;1,038;3,115;4,153;0,25;0,597;0,847;182;9.9%;9;14;0;0;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Ryan Johansen;NSH;24;F;82;14;47;61;60;1;18:50;15:07;2:55;0:47;9;4;1;3;0;28;19;0;11;1;37;23;1;14;1;37.7%;0,544;1,826;2,37;0,435;1,355;1,79;1,001;4,753;5,754;0,171;0,573;0,744;154;9.1%;77;28;803;667;54.63%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Evgeny Kuznetsov;WSH;24;F;82;19;40;59;46;18;16:58;14:55;2:01;0:01;16;3;0;4;0;29;11;0;8;3;45;14;0;12;3;23.7%;0,819;1,725;2,544;0,784;1,422;2,206;1,086;3,983;5,069;0,232;0,488;0,72;170;11.2%;57;18;456;581;43.97%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Mats Zuccarello;NYR;29;F;80;15;44;59;26;15;18:49;15:38;2:43;0:27;10;5;0;3;0;35;9;0;5;1;45;14;0;8;1;23.7%;0,597;1,753;2,35;0,479;1,678;2,157;1,373;2,472;3,846;0,188;0,55;0,738;189;7.9%;85;52;6;7;46.15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Alexander Wennberg;CBJ;22;F;80;13;46;59;21;9;18:23;15:05;2:38;0:37;11;2;0;5;0;25;21;0;12;2;36;23;0;17;2;39.0%;0,53;1,877;2,407;0,546;1,242;1,788;0,568;5,96;6,527;0,163;0,575;0,738;109;11.9%;58;56;609;676;47.39%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Filip Forsberg;NSH;22;F;82;31;27;58;32;-4;18:31;14:27;2:37;1:26;25;3;3;9;1;21;6;0;6;0;46;9;3;15;1;15.5%;1,225;1,067;2,292;1,266;1,063;2,329;0,838;1,677;2,515;0,378;0,329;0,707;234;13.3%;97;26;5;13;27.78%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Sean Monahan;CGY;22;F;82;27;31;58;20;-1;17:34;14:04;3:01;0:29;18;8;1;4;2;22;9;0;4;1;40;17;1;8;3;29.3%;1,124;1,29;2,414;0,936;1,144;2,08;1,936;2,178;4,113;0,329;0,378;0,707;199;13.6%;34;25;743;702;51.42%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Marcus Johansson;WSH;26;F;82;24;34;58;10;25;17:00;14:08;2:49;0:02;19;5;0;5;2;20;14;0;5;2;39;19;0;10;4;32.8%;1,033;1,463;2,496;0,983;1,034;2,017;1,297;3,631;4,927;0,293;0,415;0,707;129;18.6%;32;22;14;15;48.28%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Ryan Kesler;ANA;32;F;82;22;36;58;83;8;21:18;15:43;2:50;2:44;14;8;0;2;0;24;12;0;10;1;38;20;0;12;1;34.5%;0,756;1,236;1,992;0,652;1,117;1,769;2,063;3,095;5,158;0,268;0,439;0,707;186;11.8%;146;75;1029;764;57.39%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Jonathan Toews;CHI;28;F;72;21;37;58;35;7;20:09;16:10;2:41;1:18;15;6;0;5;1;26;11;0;7;1;41;17;0;12;2;29.3%;0,868;1,53;2,398;0,773;1,34;2,113;1,863;3,415;5,278;0,292;0,514;0,806;199;10.6%;43;32;852;701;54.86%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
