Rk;Name;Team;Age;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Alexander Ovechkin;WSH;22;F;82;65;47;112;40;28;22:55;17:08;5:36;0:09;43;22;0;11;2;32;15;0;5;2;75;37;0;16;4;33.0%;2,075;1,501;3,576;1,835;1,366;3,201;2,867;1,955;4,822;0,793;0,573;1,366;446;14.6%;220;44;7;11;38.89%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Evgeni Malkin;PIT;21;F;82;47;59;106;78;16;21:19;15:28;5:01;0:48;30;17;0;5;0;36;23;0;8;0;66;40;0;13;0;37.7%;1,613;2,025;3,638;1,418;1,702;3,12;2,472;3,344;5,815;0,573;0,72;1,293;272;17.3%;49;40;350;540;39.33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Jarome Iginla;CGY;30;F;82;50;48;98;83;27;21:26;16:35;4:22;0:28;35;15;0;9;2;30;18;0;5;0;65;33;0;14;2;33.7%;1,707;1,638;3,345;1,544;1,323;2,867;2,51;3,012;5,522;0,61;0,585;1,195;338;14.8%;98;10;245;200;55.06%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Pavel Datsyuk;DET;29;F;82;31;66;97;20;41;21:23;15:11;4:23;1:47;20;10;1;6;0;36;30;0;16;0;56;40;1;22;0;41.2%;1,061;2,258;3,319;0,963;1,734;2,697;1,667;5,001;6,669;0,378;0,805;1,183;264;11.7%;40;42;453;380;54.38%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Joe Thornton;SJS;28;F;82;29;67;96;59;18;21:12;15:51;4:46;0:34;18;11;0;5;2;41;26;0;14;0;59;37;0;19;2;38.5%;1,001;2,312;3,312;0,831;1,893;2,723;1,685;3,982;5,666;0,354;0,817;1,171;178;16.3%;60;31;785;700;52.86%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Henrik Zetterberg;DET;27;F;75;43;49;92;34;30;22:04;15:19;4:35;2:09;26;16;1;7;0;29;20;0;8;2;55;36;1;15;2;39.1%;1,559;1,776;3,335;1,358;1,514;2,872;2,791;3,488;6,279;0,573;0,653;1,227;358;12.0%;31;16;666;544;55.04%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Vincent Lecavalier;TBL;27;F;81;40;52;92;89;-17;22:57;17:13;4:10;1:33;29;10;1;7;0;30;19;3;8;1;59;29;4;15;1;31.5%;1,291;1,678;2,969;1,248;1,291;2,538;1,775;3,373;5,149;0,494;0,642;1,136;318;12.6%;112;21;815;856;48.77%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Jason Spezza;OTT;24;F;76;34;58;92;66;26;20:40;15:59;4:20;0:19;23;11;0;6;0;36;22;0;9;0;59;33;0;15;0;35.9%;1,299;2,215;3,514;1,135;1,776;2,911;2,002;4,004;6,006;0,447;0,763;1,211;210;16.2%;18;18;729;716;50.45%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Daniel Alfredsson;OTT;35;F;70;40;49;89;34;15;22:17;15:09;4:18;2:48;24;9;7;5;1;31;16;2;13;1;55;25;9;18;2;28.1%;1,539;1,885;3,423;1,356;1,752;3,108;1,79;3,182;4,972;0,571;0,7;1,271;217;18.4%;55;30;21;18;53.85%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Ilya Kovalchuk;ATL;24;F;79;52;35;87;52;-12;21:30;15:23;5:43;0:23;34;16;2;4;1;21;14;0;5;2;55;30;2;9;3;34.5%;1,837;1,236;3,073;1,679;1,037;2,715;2,124;1,858;3,982;0,658;0,443;1,101;283;18.4%;40;25;14;18;43.75%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Alexei Kovalev;MTL;34;F;82;35;49;84;70;18;19:33;14:00;4:09;1:23;18;17;0;5;1;17;30;2;7;0;35;47;2;12;1;56.0%;1,31;1,834;3,143;0,94;0,888;1,828;2,994;5,283;8,277;0,427;0,598;1,024;230;15.2%;88;39;32;26;55.17%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Marian Gaborik;MIN;25;F;77;42;41;83;63;17;19:35;15:26;3:27;0:42;30;11;1;8;3;28;13;0;5;2;58;24;1;13;5;28.9%;1,67;1,63;3,3;1,514;1,413;2,927;2,479;2,93;5,409;0,545;0,532;1,078;278;15.1%;59;18;6;15;28.57%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
