Rk;Name;Team;Age;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Sidney Crosby;PIT;26;F;80;36;68;104;46;18;21:58;17:10;4:17;0:30;25;11;0;5;1;41;27;0;14;1;66;38;0;19;2;36.5%;1,229;2,321;3,55;1,091;1,79;2,881;1,924;4,723;6,647;0,45;0,85;1,3;259;13.9%;47;28;991;896;52.52%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Ryan Getzlaf;ANA;28;F;77;31;56;87;31;28;21:17;15:28;3:40;2:07;26;5;0;7;1;38;18;0;13;1;64;23;0;20;2;26.4%;1,135;2,05;3,185;1,309;1,913;3,222;1,06;3,815;4,875;0,403;0,727;1,13;204;15.2%;110;87;692;719;49.04%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Claude Giroux;PHI;25;F;82;28;58;86;46;7;20:26;15:44;3:44;0:56;21;7;0;7;1;28;30;0;6;0;49;37;0;13;1;43.0%;1,003;2,077;3,079;0,976;1,301;2,277;1,367;5,857;7,223;0,341;0,707;1,049;223;12.6%;90;46;931;829;52.90%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Tyler Seguin;DAL;21;F;80;37;47;84;18;16;19:20;15:31;3:45;0:03;26;11;0;8;0;33;14;0;4;1;59;25;0;12;1;29.8%;1,434;1,822;3,256;1,256;1,594;2,849;2,192;2,79;4,983;0,463;0,588;1,05;294;12.6%;48;24;281;396;41.51%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Corey Perry;ANA;28;F;81;43;39;82;65;32;19:28;15:25;3:30;0:33;35;8;0;9;1;29;10;0;6;0;64;18;0;15;1;22.0%;1,635;1,483;3,118;1,682;1,393;3,075;1,688;2,11;3,798;0,531;0,481;1,012;280;15.4%;81;28;9;16;36.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Phil Kessel;TOR;26;F;82;37;43;80;27;-5;20:39;17:30;3:08;0:01;29;8;0;6;0;31;12;0;4;1;60;20;0;10;1;25.0%;1,31;1,522;2,832;1,212;1,296;2,509;1,867;2,8;4,667;0,451;0,524;0,976;305;12.1%;25;30;2;12;14.29%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Taylor Hall;EDM;22;F;75;27;53;80;44;-15;20:00;16:27;3:10;0:22;20;7;0;1;1;42;10;1;8;0;62;17;1;9;1;21.3%;1,079;2,119;3,198;0,972;2,041;3,013;1,763;2,518;4,281;0,36;0,707;1,067;250;10.8%;54;41;37;44;45.68%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Alexander Ovechkin;WSH;28;F;78;51;28;79;48;-35;20:32;15:29;5:02;0:00;27;24;0;10;3;12;15;1;2;1;39;39;1;12;4;49.4%;1,909;1,048;2,958;1,34;0,596;1,936;3,666;2,291;5,958;0,654;0,359;1,013;386;13.2%;204;22;2;1;66.67%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Joe Pavelski;SJS;29;F;82;41;38;79;32;23;19:51;14:44;3:30;1:35;24;16;1;3;0;22;15;1;8;2;46;31;2;11;2;39.2%;1,511;1,401;2,912;1,191;1,092;2,283;3,33;3,122;6,452;0,5;0,463;0,963;225;18.2%;47;68;675;531;55.97%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Jamie Benn;DAL;24;F;81;34;45;79;64;21;19:09;14:44;3:40;0:44;28;5;1;3;1;29;14;2;11;0;57;19;3;14;1;24.1%;1,315;1,74;3,055;1,407;1,457;2,864;1,009;2,825;3,833;0,42;0,556;0,975;279;12.2%;118;60;411;367;52.83%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
