,MATT CULLEN,SERGEI SAMSONOV,TUOMO RUUTU,RAY WHITNEY,ERIC STAAL
MATT CULLEN,0.0,4.0,0.0,20.0,2.0
SERGEI SAMSONOV,4.0,0.0,18.0,4.0,29.0
TUOMO RUUTU,0.0,18.0,0.0,8.0,39.0
RAY WHITNEY,20.0,4.0,8.0,0.0,18.0
ERIC STAAL,2.0,29.0,39.0,18.0,0.0
