,CRAIG CONROY,DAYMOND LANGKOW,TODD BERTUZZI,MIKE CAMMALLERI,JAROME IGINLA
CRAIG CONROY,0.0,0.0,2.0,12.0,20.0
DAYMOND LANGKOW,0.0,0.0,29.0,12.0,15.0
TODD BERTUZZI,2.0,29.0,0.0,11.0,20.0
MIKE CAMMALLERI,12.0,12.0,11.0,0.0,53.0
JAROME IGINLA,20.0,15.0,20.0,53.0,0.0
