,PATRIK BERGLUND,DAVID PERRON,KEITH TKACHUK,DAVID BACKES,BRAD BOYES
PATRIK BERGLUND,0.0,36.0,12.0,5.0,18.0
DAVID PERRON,36.0,0.0,7.0,7.0,10.0
KEITH TKACHUK,12.0,7.0,0.0,8.0,22.0
DAVID BACKES,5.0,7.0,8.0,0.0,15.0
BRAD BOYES,18.0,10.0,22.0,15.0,0.0
