,DUSTIN PENNER,SHAWN HORCOFF,SAM GAGNER,SHELDON SOURAY,ALES HEMSKY
DUSTIN PENNER,0.0,22.0,5.0,9.0,23.0
SHAWN HORCOFF,22.0,0.0,0.0,14.0,33.0
SAM GAGNER,5.0,0.0,0.0,6.0,4.0
SHELDON SOURAY,9.0,14.0,6.0,0.0,24.0
ALES HEMSKY,23.0,33.0,4.0,24.0,0.0
