,MATT STAJAN,MIKHAIL GRABOVSKI,NIK ANTROPOV,ALEXEI PONIKAROVSKY,JASON BLAKE
MATT STAJAN,0.0,2.0,26.0,23.0,0.0
MIKHAIL GRABOVSKI,2.0,0.0,2.0,20.0,4.0
NIK ANTROPOV,26.0,2.0,0.0,27.0,2.0
ALEXEI PONIKAROVSKY,23.0,20.0,27.0,0.0,12.0
JASON BLAKE,0.0,4.0,2.0,12.0,0.0
