,JOFFREY LUPUL,SCOTT HARTNELL,SIMON GAGNE,MIKE RICHARDS,JEFF CARTER
JOFFREY LUPUL,0.0,33.0,0.0,5.0,46.0
SCOTT HARTNELL,33.0,0.0,3.0,4.0,46.0
SIMON GAGNE,0.0,3.0,0.0,40.0,11.0
MIKE RICHARDS,5.0,4.0,40.0,0.0,9.0
JEFF CARTER,46.0,46.0,11.0,9.0,0.0
