,PAVOL DEMITRA,ALEX BURROWS,RYAN KESLER,HENRIK SEDIN,DANIEL SEDIN
PAVOL DEMITRA,0.0,2.0,21.0,18.0,13.0
ALEX BURROWS,2.0,0.0,15.0,24.0,21.0
RYAN KESLER,21.0,15.0,0.0,5.0,3.0
HENRIK SEDIN,18.0,24.0,5.0,0.0,62.0
DANIEL SEDIN,13.0,21.0,3.0,62.0,0.0
