,BROOKS LAICH,MIKE GREEN,NICKLAS BACKSTROM,ALEXANDER SEMIN,ALEX OVECHKIN
BROOKS LAICH,0.0,21.0,18.0,21.0,20.0
MIKE GREEN,21.0,0.0,32.0,36.0,36.0
NICKLAS BACKSTROM,18.0,32.0,0.0,22.0,54.0
ALEXANDER SEMIN,21.0,36.0,22.0,0.0,34.0
ALEX OVECHKIN,20.0,36.0,54.0,34.0,0.0
