,BRIAN GIONTA,TRAVIS ZAJAC,PATRIK ELIAS,JAMIE LANGENBRUNNER,ZACH PARISE
BRIAN GIONTA,0.0,0.0,38.0,0.0,8.0
TRAVIS ZAJAC,0.0,0.0,21.0,41.0,50.0
PATRIK ELIAS,38.0,21.0,0.0,5.0,32.0
JAMIE LANGENBRUNNER,0.0,41.0,5.0,0.0,71.0
ZACH PARISE,8.0,50.0,32.0,71.0,0.0
