,ANDY HILBERT,BILL GUERIN,DOUG WEIGHT,KYLE OKPOSO,MARK STREIT
ANDY HILBERT,0.0,2.0,1.0,2.0,6.0
BILL GUERIN,2.0,0.0,22.0,0.0,13.0
DOUG WEIGHT,1.0,22.0,0.0,2.0,20.0
KYLE OKPOSO,2.0,0.0,2.0,0.0,16.0
MARK STREIT,6.0,13.0,20.0,16.0,0.0
