,PAUL STASTNY,MAREK SVATOS,WOJTEK WOLSKI,RYAN SMYTH,MILAN HEJDUK
PAUL STASTNY,0.0,6.0,6.0,19.0,23.0
MAREK SVATOS,6.0,0.0,22.0,8.0,8.0
WOJTEK WOLSKI,6.0,22.0,0.0,12.0,14.0
RYAN SMYTH,19.0,8.0,12.0,0.0,36.0
MILAN HEJDUK,23.0,8.0,14.0,36.0,0.0
