,JERE LEHTINEN,NIKLAS HAGMAN,MIKE MODANO,BRENDEN MORROW,MIKE RIBEIRO
JERE LEHTINEN,0.0,3.0,14.0,21.0,22.0
NIKLAS HAGMAN,3.0,0.0,11.0,6.0,2.0
MIKE MODANO,14.0,11.0,0.0,13.0,6.0
BRENDEN MORROW,21.0,6.0,13.0,0.0,63.0
MIKE RIBEIRO,22.0,2.0,6.0,63.0,0.0
