,PHIL KESSEL,CHUCK KOBASEW,ZDENO CHARA,MARC SAVARD,MARCO STURM
PHIL KESSEL,0.0,5.0,7.0,7.0,9.0
CHUCK KOBASEW,5.0,0.0,15.0,11.0,21.0
ZDENO CHARA,7.0,15.0,0.0,25.0,19.0
MARC SAVARD,7.0,11.0,25.0,0.0,16.0
MARCO STURM,9.0,21.0,19.0,16.0,0.0
