,CORY STILLMAN,ROD BRIND'AMOUR,RAY WHITNEY,ERIK COLE,ERIC STAAL
CORY STILLMAN,0.0,17.0,19.0,8.0,23.0
ROD BRIND'AMOUR,17.0,0.0,19.0,3.0,0.0
RAY WHITNEY,19.0,19.0,0.0,19.0,23.0
ERIK COLE,8.0,3.0,19.0,0.0,33.0
ERIC STAAL,23.0,0.0,23.0,33.0,0.0
