,TODD WHITE,VYACHESLAV KOZLOV,ERIC PERRIN,MARIAN HOSSA,ILYA KOVALCHUK
TODD WHITE,0.0,5.0,5.0,17.0,32.0
VYACHESLAV KOZLOV,5.0,0.0,16.0,8.0,7.0
ERIC PERRIN,5.0,16.0,0.0,18.0,9.0
MARIAN HOSSA,17.0,8.0,18.0,0.0,29.0
ILYA KOVALCHUK,32.0,7.0,9.0,29.0,0.0
