,DION PHANEUF,ALEX TANGUAY,DAYMOND LANGKOW,KRISTIAN HUSELIUS,JAROME IGINLA
DION PHANEUF,0.0,13.0,13.0,15.0,34.0
ALEX TANGUAY,13.0,0.0,17.0,3.0,30.0
DAYMOND LANGKOW,13.0,17.0,0.0,30.0,53.0
KRISTIAN HUSELIUS,15.0,3.0,30.0,0.0,40.0
JAROME IGINLA,34.0,30.0,53.0,40.0,0.0
