,NIGEL DAWES,BRENDAN SHANAHAN,CHRIS DRURY,JAROMIR JAGR,SCOTT GOMEZ
NIGEL DAWES,0.0,10.0,15.0,0.0,8.0
BRENDAN SHANAHAN,10.0,0.0,14.0,19.0,30.0
CHRIS DRURY,15.0,14.0,0.0,10.0,20.0
JAROMIR JAGR,0.0,19.0,10.0,0.0,22.0
SCOTT GOMEZ,8.0,30.0,20.0,22.0,0.0
