,TODD BERTUZZI,MATHIEU SCHNEIDER,CHRIS KUNITZ,COREY PERRY,RYAN GETZLAF
TODD BERTUZZI,0.0,7.0,2.0,21.0,19.0
MATHIEU SCHNEIDER,7.0,0.0,8.0,6.0,18.0
CHRIS KUNITZ,2.0,8.0,0.0,25.0,20.0
COREY PERRY,21.0,6.0,25.0,0.0,37.0
RYAN GETZLAF,19.0,18.0,20.0,37.0,0.0
