,ANDY MCDONALD,LEE STEMPNIAK,KEITH TKACHUK,PAUL KARIYA,BRAD BOYES
ANDY MCDONALD,0.0,3.0,4.0,10.0,22.0
LEE STEMPNIAK,3.0,0.0,10.0,1.0,3.0
KEITH TKACHUK,4.0,10.0,0.0,29.0,23.0
PAUL KARIYA,10.0,1.0,29.0,0.0,57.0
BRAD BOYES,22.0,3.0,23.0,57.0,0.0
