,DAVID LEGWAND,MARTIN ERAT,JASON ARNOTT,ALEXANDER RADULOV,JP DUMONT
DAVID LEGWAND,0.0,18.0,7.0,8.0,9.0
MARTIN ERAT,18.0,0.0,16.0,5.0,15.0
JASON ARNOTT,7.0,16.0,0.0,18.0,58.0
ALEXANDER RADULOV,8.0,5.0,18.0,0.0,36.0
JP DUMONT,9.0,15.0,58.0,36.0,0.0
