,RYAN KESLER,TAYLOR PYATT,MARKUS NASLUND,HENRIK SEDIN,DANIEL SEDIN
RYAN KESLER,0.0,8.0,7.0,5.0,0.0
TAYLOR PYATT,8.0,0.0,13.0,13.0,6.0
MARKUS NASLUND,7.0,13.0,0.0,24.0,33.0
HENRIK SEDIN,5.0,13.0,24.0,0.0,57.0
DANIEL SEDIN,0.0,6.0,33.0,57.0,0.0
