,MIKE FISHER,ANTOINE VERMETTE,DANY HEATLEY,DANIEL ALFREDSSON,JASON SPEZZA
MIKE FISHER,0.0,8.0,5.0,23.0,1.0
ANTOINE VERMETTE,8.0,0.0,2.0,6.0,2.0
DANY HEATLEY,5.0,2.0,0.0,45.0,60.0
DANIEL ALFREDSSON,23.0,6.0,45.0,0.0,48.0
JASON SPEZZA,1.0,2.0,60.0,48.0,0.0
