,ED JOVANOVSKI,STEVE REINPRECHT,PETER MUELLER,RADIM VRBATA,SHANE DOAN
ED JOVANOVSKI,0.0,12.0,11.0,22.0,22.0
STEVE REINPRECHT,12.0,0.0,15.0,11.0,16.0
PETER MUELLER,11.0,15.0,0.0,6.0,29.0
RADIM VRBATA,22.0,11.0,6.0,0.0,15.0
SHANE DOAN,22.0,16.0,29.0,15.0,0.0
