,NIKO KAPANEN,MARTIN HANZAL,ED JOVANOVSKI,STEVE REINPRECHT,PETER MUELLER,RADIM VRBATA,SHANE DOAN
NIKO KAPANEN,0.0,6.0,5.0,1.0,3.0,6.0,4.0
MARTIN HANZAL,0.0,0.0,2.0,0.0,4.0,15.0,8.0
ED JOVANOVSKI,0.0,0.0,0.0,12.0,11.0,22.0,22.0
STEVE REINPRECHT,0.0,0.0,0.0,0.0,15.0,11.0,16.0
PETER MUELLER,0.0,0.0,0.0,0.0,0.0,6.0,29.0
RADIM VRBATA,0.0,0.0,0.0,0.0,0.0,0.0,15.0
SHANE DOAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
