name,id,mean_duration,mean_game,total,game_played
RICK DIPIETRO,8468481,786.1111111111111,50.53571428571429,353.75,7
DANY HEATLEY,8468482,51.495,20.932926829268293,1716.5,82
MARIAN GABORIK,8468483,51.98592311857065,19.515853658536585,1600.3,82
ROSTISLAV KLESLA,8468484,46.31779141104295,19.358461538461537,1258.3,65
RAFFI TORRES,8468485,44.86761032472939,11.368354430379748,898.1,79
SCOTT HARTNELL,8468486,50.27602070155262,17.770325203252032,1457.1666666666667,82
MARC-ANDRE BOURDON,8474631,44.8829568788501,16.191111111111113,728.6,45
JIMMY HAYES,8474625,43.4123006833713,10.246236559139785,317.6333333333333,31
MICHAEL STONE,8474628,42.46666666666667,13.883333333333333,180.48333333333332,13
EVGENY GRACHEV,8474634,41.132768361581924,9.33397435897436,242.68333333333334,26
RON HAINSEY,8468493,50.240255138199856,21.097916666666666,1181.4833333333333,56
CHRIS KUNITZ,8470543,52.63084112149533,18.31382113821138,1501.7333333333333,82
ADAM HENRIQUE,8474641,45.89129197495731,18.160135135135135,1343.85,74
BROOKS ORPIK,8468498,54.096385542168676,22.552511415525114,1646.3333333333333,73
LANCE BOUMA,8474642,42.107416879795394,10.162962962962963,274.4,27
KRYS KOLANOS,8468499,40.03125,9.853846153846154,128.1,13
ANTON VOLCHENKOV,8468501,47.301461632155906,17.978935185185186,1294.4833333333333,72
BRANDON MCMILLAN,8474646,37.469933184855236,11.216000000000001,280.4,25
BRAD BOYES,8468504,48.62784090909091,13.166923076923077,855.85,65
STEVE OTT,8468505,46.1672335600907,18.34211711711712,1357.3166666666666,74
TOMAS KUNDRATEK,8474649,43.656716417910445,9.75,48.75,5
BRADEN HOLTBY,8474651,865.36,51.509523809523806,360.56666666666666,7
JUSTIN WILLIAMS,8468508,47.83730158730159,17.15142276422764,1406.4166666666667,82
NIKLAS KRONWALL,8468509,48.42832544123978,22.865650406504066,1874.9833333333333,82
JEFF TAFFE,8468510,41.645161290322584,12.91,64.55,5
NICK SCHULTZ,8468513,41.47305389221557,19.708130081300812,1616.0666666666666,82
BRAD WINCHESTER,8468515,36.96819787985866,7.807462686567164,523.1,67
MATT DONOVAN,8474659,51.43076923076923,18.57222222222222,55.71666666666667,3
TOMAS KOPECKY,8468518,42.44598054275474,17.270208333333336,1381.6166666666666,80
KURTIS FOSTER,8468520,45.028703703703705,15.892483660130718,810.5166666666667,51
DAVID ULLSTROM,8474666,42.34368070953437,10.97528735632184,318.28333333333336,29
ILYA BRYZGALOV,8468524,875.7051282051282,57.88559322033898,3415.25,59
DALE WEISE,8474668,37.071269487750556,8.159313725490197,554.8333333333334,68
JARRET STOLL,8468526,41.58284496537027,16.6775641025641,1300.85,78
ANDRE PETERSSON,8474670,43.142857142857146,5.033333333333333,5.033333333333333,1
TJ BRODIE,8474673,47.45955555555555,16.479012345679013,889.8666666666667,54
JED ORTMEYER,8470580,37.039927404718696,9.71857142857143,340.15,35
ANDREAS LILJA,8468534,42.637697516930025,13.68731884057971,629.6166666666667,46
ANTOINE VERMETTE,8468535,44.76943416181914,17.20711382113821,1410.9833333333333,82
GUSTAV NYQUIST,8474679,42.53903345724907,10.59537037037037,190.71666666666667,18
ANDREI LOKTIONOV,8474681,46.09905660377358,12.529487179487178,488.65,39
DUSTIN TOKARSKI,8474682,1043.9285714285713,48.71666666666667,243.58333333333334,5
DAN ELLIS,8468540,866.2758620689655,41.87,418.7,10
MATT CALVERT,8474685,40.22598870056497,9.12820512820513,118.66666666666667,13
PAUL MARTIN,8468542,52.39209568382735,23.002283105022833,1679.1666666666667,73
MARC-ANDRE FLEURY,8470594,954.1755102040817,58.15248756218906,3896.2166666666667,67
ERIC STAAL,8470595,44.78707224334601,21.546951219512195,1766.85,82
NATHAN HORTON,8470596,49.134078212290504,15.932971014492754,732.9166666666666,46
KEVIN POULIN,8474690,846.5714285714286,49.38333333333333,296.3,6
THOMAS VANEK,8470598,48.47461773700306,16.935042735042735,1320.9333333333334,78
MILAN MICHALEK,8470599,44.56684755796744,19.553463203463203,1505.6166666666666,77
RYAN SUTER,8470600,54.95844269466317,26.50527426160338,2093.9166666666665,79
BRAYDON COBURN,8470601,46.884901531728666,22.043621399176956,1785.5333333333333,81
DION PHANEUF,8470602,48.30085403726708,25.289227642276423,2073.7166666666667,82
ANDREI KOSTITSYN,8470603,46.312056737588655,15.11574074074074,1088.3333333333333,72
JEFF CARTER,8470604,48.25076219512195,19.183333333333334,1055.0833333333333,55
TOMAS KUBALIK,8474693,41.174193548387095,13.295833333333333,106.36666666666666,8
DUSTIN BROWN,8470606,48.78613569321534,20.168902439024393,1653.85,82
BRENT SEABROOK,8470607,48.31356993736952,24.724572649572647,1928.5166666666667,78
JOHN MADDEN,8466371,39.58792184724689,11.98279569892473,371.46666666666664,31
MARK BOROWIECKI,8474697,41.638888888888886,12.491666666666667,24.983333333333334,2
ZACH PARISE,8470610,49.932451582427966,21.485162601626016,1761.7833333333333,82
PHILIP LARSEN,8474707,45.75521235521236,17.955454545454543,987.55,55
RYAN GETZLAF,8470612,54.357544757033246,21.59939024390244,1771.15,82
MATT MARTIN,8474709,44.89,12.157708333333334,972.6166666666667,80
BRENT BURNS,8470613,48.36158940397351,22.538888888888888,1825.65,81
MARK STUART,8470614,45.24328767123288,17.201874999999998,1376.15,80
RYAN KESLER,8470616,46.76272040302267,20.091774891774893,1547.0666666666666,77
MIKE RICHARDS,8470617,45.82295081967213,18.886486486486486,1397.6,74
ANTHONY STEWART,8470618,38.10761421319797,8.124675324675325,625.6,77
BRIAN BOYLE,8470619,45.19047619047619,15.238008130081301,1249.5166666666667,82
CAM ATKINSON,8474715,46.59439252336448,15.387654320987654,415.46666666666664,27
COREY PERRY,8470621,53.56002087682672,21.379375,1710.35,80
JARED SPURGEON,8474716,45.02084367245658,21.599285714285713,1511.95,70
DOMINIC MOORE,8468575,45.061811505507954,15.53396624472574,1227.1833333333334,79
PATRICK EAVES,8470622,39.218934911242606,11.046666666666665,110.46666666666667,10
TEEMU HARTIKAINEN,8474719,45.765517241379314,13.011764705882353,221.2,17
LOUI ERIKSSON,8470626,49.834956432598666,19.76178861788618,1620.4666666666667,82
KEVIN KLEIN,8470630,46.72603550295858,19.941161616161615,1316.1166666666666,66
BEN SMITH,8474727,39.6580310880829,9.812820512820512,127.56666666666666,13
JON DISALVATORE,8468584,43.35,14.45,14.45,1
MIKE MURPHY,8474729,433.2,18.05,36.1,2
JOSH HENNESSY,8470636,33.861111111111114,6.772222222222222,20.316666666666666,3
PATRICE BERGERON,8470638,45.04089775561097,18.581687242798353,1505.1166666666666,81
MATT CARLE,8470640,48.96714223951578,23.020528455284552,1887.6833333333334,82
ZAC RINALDO,8474736,40.30068027210884,7.480050505050505,493.68333333333334,66
SHEA WEBER,8470642,53.30169786678276,26.16111111111111,2040.5666666666666,78
TOMMY WINGELS,8474739,43.48402555910543,13.747979797979799,453.68333333333334,33
COLIN MCDONALD,8470644,48.86538461538461,8.47,42.35,5
COREY CRAWFORD,8470645,893.949074074074,56.45994152046784,3218.2166666666667,57
LUBOMIR VISNOVSKY,8468598,56.3936170212766,20.788235294117648,1413.6,68
B.J. CROMBEEN,8470647,37.66918714555766,8.302916666666667,332.1166666666667,40
TOREY KRUG,8476792,51.375,17.125,34.25,2
PATRICK O'SULLIVAN,8470649,47.65,11.04927536231884,254.13333333333333,23
MATT BARTKOWSKI,8474749,36.766666666666666,6.127777777777778,18.383333333333333,3
MAXIM LAPIERRE,8470654,38.22283737024222,11.2260162601626,920.5333333333333,82
DAVID BACKES,8470655,41.09857978279031,19.9979674796748,1639.8333333333333,82
JIMMY HOWARD,8470657,960.0809523809523,58.95233918128655,3360.2833333333333,57
MATT HENDRICKS,8468611,42.78506787330317,12.122435897435897,945.55,78
SHAWN HUNWICK,8476803,153.0,2.55,2.55,1
JF JACQUES,8470661,41.10344827586207,6.622222222222222,39.733333333333334,6
COLIN FRASER,8470662,39.89296636085627,9.735074626865671,652.25,67
JT BROWN,8476806,44.69892473118279,13.856666666666666,69.28333333333333,5
DAN CARCILLO,8470666,43.23250564334086,11.4,319.2,28
CLARKE MACARTHUR,8470667,47.27316076294278,15.844063926940638,1156.6166666666666,73
SIDNEY CROSBY,8471675,53.82560706401766,18.471969696969698,406.3833333333333,22
ANDERS LINDBACK,8474765,819.7413793103449,49.526041666666664,792.4166666666666,16
RYAN O'BYRNE,8470672,44.88686327077748,18.854504504504504,1395.2333333333333,74
PETER MANNINO,8474771,595.5,19.85,19.85,1
STU BICKEL,8474772,46.43168604651163,10.43954248366013,532.4166666666666,51
JEREMY WELSH,8476819,41.333333333333336,16.533333333333335,16.533333333333335,1
ALEXANDRE PICARD,8470678,45.75085324232082,13.142156862745098,223.41666666666666,17
DALTON PROUT,8474774,41.62352941176471,11.793333333333333,58.96666666666667,5
TRAVIS MOEN,8468635,43.02471482889734,15.715972222222224,754.3666666666667,48
GREG ZANON,8468636,44.067059690493736,17.79732142857143,996.65,56
